START,SWE2Bss_POST,PDE2Bss_POST,WBWIss_POST,SIT1ss_POST
START_001,97,101,94,105
START_002,55,65,78,96
START_004,82,78,81,84
START_005,74,77,84,90
START_006,82,92,92,112
START_007,67,71,81,95
START_008,96,99,87,101
START_009,94,79,90,77
START_010,80,76,81,78
START_011,70,82,77,101
START_013,86,80,81,100
START_016,62,59,68,91
START_018,73,68,83,79
START_020,97,78,95,112
START_021,64,60,63,81
START_025,71,69,79,95
START_030,98,74,93,80
START_033,79,78,92,103
START_034,83,78,77,95
START_035,55,65,71,83
START_037,74,,77,77
START_038,91,75,92,86
START_040,96,84,96,90
START_043,67,72,83,
START_044,81,78,85,90
START_045,92,84,87,99
START_047,83,80,83,98
START_049,82,91,80,106
START_051,76,74,73,87
START_054,94,68,95,88
START_056,71,80,85,85
START_058,68,82,78,99
START_060,78,73,77,70
START_061,86,85,95,108
START_062,73,69,80,89
START_066,67,64,75,75
START_070,101,88,112,92
START_072,62,74,66,99
START_073,88,88,89,103
START_076,78,76,72,90
START_081,83,88,93,119
START_082,93,63,81,76
START_083,70,,77,79
START_084,64,60,69,79
START_087,87,82,83,108
START_089,96,90,89,98
START_308,93,90,83,103
START_318,84,82,90,95
START_319,84,76,78,91
START_320,99,82,89,90
START_327,104,90,89,114
START_364,73,78,74,96
START_402,82,76,89,90
START_410,97,91,94,118
START_411,74,74,78,82
START_413,67,70,67,88
START_414,64,76,89,95
START_415,84,84,100,84
START_434,,,90,119
START_437,74,68,68,72
START_482,78,82,84,100
